country,year,estimate,hi,lo
AFG,2009,NA,NA,NA
AFG,2010,NA,NA,NA
AFG,2011,NA,NA,NA
AFG,2012,NA,NA,NA
AFG,2013,NA,NA,NA
AFG,2014,NA,NA,NA
AFG,2015,NA,NA,NA
AFG,2016,NA,NA,NA
AFG,2017,NA,NA,NA
AGO,2009,NA,NA,NA
AGO,2010,NA,NA,0.03
AGO,2011,NA,0.03,0.04
AGO,2012,0.03,0.04,0.02
AGO,2013,0.04,0.02,0.05
AGO,2014,0.02,0.05,0.07
AGO,2015,0.05,0.07,0.04
AGO,2016,0.07,0.04,0.06
AGO,2017,0.04,0.06,0.08
AIA,2009,NA,NA,NA
AIA,2010,NA,NA,NA
AIA,2011,NA,NA,NA
AIA,2012,NA,NA,NA
AIA,2013,NA,NA,NA
AIA,2014,NA,NA,NA
AIA,2015,NA,NA,NA
AIA,2016,NA,NA,NA
AIA,2017,NA,NA,NA
ALB,2009,NA,NA,NA
ALB,2010,NA,NA,NA
ALB,2011,NA,NA,NA
ALB,2012,NA,NA,NA
ALB,2013,NA,NA,NA
ALB,2014,NA,NA,NA
ALB,2015,NA,NA,NA
ALB,2016,NA,NA,NA
ALB,2017,NA,NA,NA
ARE,2009,NA,NA,NA
ARE,2010,NA,NA,NA
ARE,2011,NA,NA,NA
ARE,2012,NA,NA,NA
ARE,2013,NA,NA,NA
ARE,2014,NA,NA,NA
ARE,2015,NA,NA,NA
ARE,2016,NA,NA,NA
ARE,2017,NA,NA,NA
ARG,2009,NA,NA,NA
ARG,2010,NA,NA,NA
ARG,2011,NA,NA,NA
ARG,2012,NA,NA,NA
ARG,2013,NA,NA,0.13
ARG,2014,NA,0.13,0.14
ARG,2015,0.13,0.14,0.11
ARG,2016,0.14,0.11,0.12
ARG,2017,0.11,0.12,0.14
ARM,2009,NA,NA,NA
ARM,2010,NA,NA,NA
ARM,2011,NA,NA,NA
ARM,2012,NA,NA,NA
ARM,2013,NA,NA,NA
ARM,2014,NA,NA,NA
ARM,2015,NA,NA,NA
ARM,2016,NA,NA,NA
ARM,2017,NA,NA,NA
ATG,2009,NA,NA,NA
ATG,2010,NA,NA,NA
ATG,2011,NA,NA,NA
ATG,2012,NA,NA,NA
ATG,2013,NA,NA,NA
ATG,2014,NA,NA,NA
ATG,2015,NA,NA,NA
ATG,2016,NA,NA,NA
ATG,2017,NA,NA,NA
AUS,2009,NA,NA,NA
AUS,2010,NA,NA,NA
AUS,2011,NA,NA,NA
AUS,2012,NA,NA,NA
AUS,2013,NA,NA,NA
AUS,2014,NA,NA,NA
AUS,2015,NA,NA,NA
AUS,2016,NA,NA,NA
AUS,2017,NA,NA,NA
AUT,2009,NA,NA,NA
AUT,2010,NA,NA,NA
AUT,2011,NA,NA,NA
AUT,2012,NA,NA,NA
AUT,2013,NA,NA,NA
AUT,2014,NA,NA,NA
AUT,2015,NA,NA,NA
AUT,2016,NA,NA,NA
AUT,2017,NA,NA,NA
AZE,2009,0.26,0.35,0.18
AZE,2010,0.35,0.18,0.24
AZE,2011,0.18,0.24,0.31
